Designator,Mid X,Mid Y,Rotation,Layer
C1,252.9,-50.0,0.0,top
C10,198.8,-51.5,180.0,top
C2,252.9,-52.3,0.0,top
C3,245.3,-52.9,180.0,top
C4,240.8625,-57.9,180.0,top
C5,203.6,-70.2,180.0,top
C6,222.5,-71.3,270.0,top
C7,198.8,-53.8,180.0,top
C8,176.2,-71.4,0.0,top
C9,198.7625,-58.4,180.0,top
D1,252.5,-65.4,0.0,top
D2,224.75,-56.8,180.0,top
J1,253.1,-58.8,90.0,top
J3,245.3,-45.9,90.0,top
J4,240.06,-71.8,90.0,top
J5,240.08,-66.0,90.0,top
L1,214.8,-67.9,0.0,top
Q1,229.2,-56.8,180.0,top
R1,233.5,-55.8,180.0,top
R10,198.8,-56.1,0.0,top
R18,252.45,-67.7,0.0,top
R2,233.5,-58.1,180.0,top
R3,252.45,-59.9,180.0,bottom
R4,252.45,-57.6,180.0,bottom
R5,164.2,-70.85,270.0,top
R6,161.9,-70.85,270.0,top
R7,219.8,-69.55,270.0,top
R8,214.5,-72.2,180.0,top
R9,223.2,-52.8,90.0,top
SW1,163.16,-58.8,0.0,top
SW2,184.9,-62.4,180.0,bottom
U1,212.25,-57.1,0.0,top
U2,245.9,-55.7,0.0,top
U3,209.35,-69.0375,90.0,top
U4,245.4625,-59.2,0.0,top
U5,184.2,-58.5225,180.0,top
